name,brand,manufacturing_date,expiry_date,price,stock,image_url,section_id
Toothpick Frilled,Shuffletag,12/03/2023,24/12/2024,29.96,106,http://dummyimage.com/x.png/ff4444/ffffff,9
The Pop Shoppe - Grape,Agimba,25/12/2022,02/08/2024,141.61,155,http://dummyimage.com/x.png/cc0000/ffffff,4
Mushroom - Chanterelle Frozen,Mybuzz,24/05/2023,17/01/2024,262.61,81,http://dummyimage.com/x.png/5fa2dd/ffffff,2
Zucchini - Green,Flashdog,22/03/2023,04/12/2023,268.66,17,http://dummyimage.com/x.png/ff4444/ffffff,15
Beef - Prime Rib Aaa,Aivee,29/01/2023,04/11/2024,154.0,43,http://dummyimage.com/x.png/5fa2dd/ffffff,18
Beef - Tender Tips,Zooveo,02/11/2022,18/02/2024,147.97,87,http://dummyimage.com/x.png/ff4444/ffffff,8
Soup - Boston Clam Chowder,Realbuzz,15/05/2023,28/01/2024,213.05,135,http://dummyimage.com/x.png/5fa2dd/ffffff,17
Bread - Hot Dog Buns,Aivee,29/12/2022,13/11/2023,88.74,99,http://dummyimage.com/x.png/5fa2dd/ffffff,2
Sponge Cake Mix - Vanilla,Zooxo,20/03/2023,01/05/2024,2.86,3,http://dummyimage.com/x.png/dddddd/000000,12
"Pasta - Fettuccine, Dry",Yoveo,10/11/2022,24/11/2024,261.65,58,http://dummyimage.com/x.png/dddddd/000000,1
Tea - Orange Pekoe,Twitterworks,09/04/2023,22/01/2024,9.58,104,http://dummyimage.com/x.png/cc0000/ffffff,18
"Cheese - Woolwich Goat, Log",Rhycero,06/12/2022,25/06/2024,210.88,83,http://dummyimage.com/x.png/5fa2dd/ffffff,3
Turkey Tenderloin Frozen,Fivebridge,15/05/2023,12/10/2024,218.43,176,http://dummyimage.com/x.png/cc0000/ffffff,10
"Veal - Insides, Grains",Eidel,29/04/2023,31/12/2023,48.94,167,http://dummyimage.com/x.png/cc0000/ffffff,7
Wine - Zinfandel California 2002,Mydo,07/01/2023,15/08/2024,9.65,54,http://dummyimage.com/x.png/cc0000/ffffff,20
Ecolab - Power Fusion,Dabjam,12/11/2022,27/07/2024,258.37,93,http://dummyimage.com/x.png/5fa2dd/ffffff,15
"Cheese - Brie, Triple Creme",Devpoint,19/03/2023,20/09/2024,6.91,165,http://dummyimage.com/x.png/ff4444/ffffff,8
"Cherries - Bing, Canned",Skyble,29/09/2022,24/05/2024,113.35,198,http://dummyimage.com/x.png/ff4444/ffffff,12
Sherry - Dry,Shufflebeat,05/09/2022,11/04/2024,123.42,174,http://dummyimage.com/x.png/dddddd/000000,16
Heavy Duty Dust Pan,Jaxnation,19/05/2023,16/08/2024,281.67,1,http://dummyimage.com/x.png/dddddd/000000,1
Beans - Green,Katz,06/05/2023,25/12/2023,265.97,95,http://dummyimage.com/x.png/ff4444/ffffff,6
Goat - Whole Cut,Rhyloo,10/07/2023,23/11/2023,283.12,187,http://dummyimage.com/x.png/dddddd/000000,10
Hersey Shakes,Twitterlist,02/09/2022,12/10/2024,214.11,18,http://dummyimage.com/x.png/dddddd/000000,6
Broom - Push,Devpoint,18/04/2023,27/04/2024,14.05,38,http://dummyimage.com/x.png/ff4444/ffffff,15
Pie Shell - 5,Brainverse,01/01/2023,27/09/2024,230.76,30,http://dummyimage.com/x.png/cc0000/ffffff,18
"Crab - Claws, Snow 16 - 24",Kazio,28/03/2023,23/11/2023,236.89,10,http://dummyimage.com/x.png/5fa2dd/ffffff,13
Crab - Soft Shell,Avamm,01/06/2023,22/10/2024,75.42,109,http://dummyimage.com/x.png/cc0000/ffffff,3
Container - Clear 32 Oz,Twinte,08/03/2023,11/11/2024,118.05,176,http://dummyimage.com/x.png/ff4444/ffffff,20
"Doilies - 7, Paper",Browseblab,28/08/2022,12/11/2024,280.75,186,http://dummyimage.com/x.png/dddddd/000000,14
Nantucket Pine Orangebanana,Zoombeat,29/12/2022,27/08/2024,279.92,145,http://dummyimage.com/x.png/ff4444/ffffff,1
Cheese - Montery Jack,Innojam,05/05/2023,18/10/2024,169.16,1,http://dummyimage.com/x.png/dddddd/000000,8
Pastry - Mini French Pastries,Miboo,19/08/2022,04/12/2024,174.35,88,http://dummyimage.com/x.png/dddddd/000000,16
Flour - Fast / Rapid,Oyondu,06/11/2022,14/12/2024,84.21,108,http://dummyimage.com/x.png/ff4444/ffffff,2
Beef - Striploin Aa,Gabspot,29/11/2022,09/08/2024,255.49,32,http://dummyimage.com/x.png/ff4444/ffffff,11
Oysters - Smoked,Meedoo,24/05/2023,08/09/2024,113.72,49,http://dummyimage.com/x.png/dddddd/000000,13
Pork - Hock And Feet Attached,Kimia,18/04/2023,02/07/2024,181.59,46,http://dummyimage.com/x.png/ff4444/ffffff,20
Shrimp - Black Tiger 13/15,Quire,21/12/2022,05/10/2024,228.91,29,http://dummyimage.com/x.png/cc0000/ffffff,4
"Sprite, Diet - 355ml",Kamba,14/09/2022,15/11/2024,249.71,13,http://dummyimage.com/x.png/cc0000/ffffff,14
"Iced Tea - Lemon, 460 Ml",Thoughtbeat,07/06/2023,06/04/2024,93.2,132,http://dummyimage.com/x.png/5fa2dd/ffffff,14
Tofu - Soft,Flashdog,23/06/2023,30/11/2023,134.99,42,http://dummyimage.com/x.png/dddddd/000000,10
Puree - Kiwi,Jayo,11/11/2022,25/10/2024,14.46,180,http://dummyimage.com/x.png/5fa2dd/ffffff,12
Capers - Ox Eye Daisy,Jabbertype,17/08/2022,12/03/2024,228.93,102,http://dummyimage.com/x.png/ff4444/ffffff,7
Cake - Sheet Strawberry,Zoonoodle,20/03/2023,27/11/2024,199.89,17,http://dummyimage.com/x.png/5fa2dd/ffffff,12
Flour - Cake,Leenti,06/02/2023,11/05/2024,259.68,52,http://dummyimage.com/x.png/cc0000/ffffff,3
